,Team,Player,Mouse,Hz,DPI,Sens,eDPI,Scoped Sens,Monitor,Resolution,Mousepad,Keyboard,Headset
119,KRÜ Esports,keznit,Logitech G Pro X Superlight Black,1000.0,800.0,0.34600000000000003,276.8,1.0,ZOWIE XL2546K,1920x1080,Lethal Gaming Gear Saturn Pro,Wooting 60 HE,HyperX Cloud II Wireless
120,Turtle Troop,Moose,Razer Deathadder V3 Pro White,1000.0,800.0,0.33,264.0,1.0,ZOWIE XL2546,1280x960,SteelSeries QcK Heavy,Logitech G915 TKL,HyperX Cloud II Wireless
121,Dplus KIA,exy,Logitech G Pro X Superlight Black,1000.0,400.0,0.503,201.0,1.0,ZOWIE XL2546K,1920x1080,SteelSeries QcK Heavy,Logitech G Pro X Keyboard,Logitech G433
122,Shopify Rebellion,v1c,Logitech G Pro X Superlight White,1000.0,800.0,0.196,156.8,1.0,ZOWIE XL2546K,1920x1080,SteelSeries QcK Heavy,Corsair K63,HyperX Cloud II Wireless
123,Shopify Rebellion,florescent,G-Wolves HTX 4K,1000.0,1600.0,0.175,280.0,0.722,ZOWIE XL2566K,1920x1080,Lethal Gaming Gear Saturn Pro Red,Wooting 60 HE,HyperX Cloud II
124,Team RA’AD,Shniider,Razer Deathadder V3 Pro Black,1000.0,400.0,0.6,240.0,1.0,ZOWIE XL2546K,1280x1024,Artisan FX Hien Soft,Ducky One 2 Mini,
125,Team RA’AD,phaze,Razer Deathadder V3 Pro Black,4000.0,800.0,0.4,320.0,1.1,ZOWIE XL2546K,1280x960,Artisan Ninja FX Zero Soft,Razer Huntsman V3 Pro TKL,Razer BlackShark V2 Pro
126,Leviatan,kiNgg,Logitech G Pro X Superlight Black,1000.0,800.0,0.27,216.0,1.0,ASUS TUF VG258QM,1920x1080,Lethal Gaming Gear Saturn,Razer Huntsman V2 TKL,Razer BlackShark V2 Pro
127,Leviatan,Mazino,Logitech G Pro X Superlight Black,1000.0,1600.0,0.185,296.0,1.0,ZOWIE XL2546K,1920x1080,Artisan Ninja FX Zero Soft,Razer BlackWidow V3 TKL,HyperX Cloud Flight
128,Leviatan,tex,Logitech G Pro X Superlight 2 Black,,800.0,0.32,256.0,1.3,ASUS VG248QE,1280x960,Artisan Ninja FX Zero XSoft,Logitech G Pro X Keyboard,HyperX Cloud II
129,Leviatan,aspas,Logitech G Pro X Superlight 2 Magenta,1000.0,800.0,0.4,320.0,1.2,ZOWIE XL2566K,1920x1080,VAXEE PA Pcute,Wooting 60 HE,HyperX Cloud II
130,Leviatan,nzr,VAXEE OUTSET AX Wireless Blue,1000.0,800.0,0.45,360.0,1.0,AOC G2460PF,1920x1080,VAXEE PA PRIZM,HyperX Alloy Origins,HyperX Cloud II
131,Case Esports,Yurii,Logitech G Pro X Superlight Black,1000.0,800.0,0.3,240.0,1.0,ZOWIE XL2566K,1920x1080,,,HyperX Cloud II
132,Case Esports,Kiles,Logitech G Pro X Superlight Black,1000.0,800.0,0.431,344.8,1.0,ZOWIE XL2540,1280x960,VAXEE PA ZYGEN,Logitech G Pro X Keyboard,Logitech G Pro X Headset
133,Case Esports,H1ber,Logitech G Pro X Superlight Black,1000.0,400.0,0.67,268.0,1.0,ZOWIE XL2566K,1440x1080,Logitech G640 Original,Logitech G Pro Keyboard,HyperX Cloud II
134,Case Esports,paTiTek,Logitech G Pro X Superlight Black,1000.0,400.0,0.82,328.0,1.0,AOC AG251FZ2E,1920x1080,Logitech G640 Original,Logitech G Pro X Keyboard,Logitech G Pro X Headset
135,Edward Gaming,Smoggy,Logitech G Pro X Superlight 2 Black,,800.0,0.34,272.0,3.0,ZOWIE XL2566K,1920x1080,Artisan Ninja FX Zero Soft,Wooting 60 HE,HyperX Cloud II
136,Edward Gaming,Haodong,VAXEE ZYGEN NP-01S Wireless Blue,1000.0,400.0,0.69,276.0,1.0,ZOWIE XL2566K,,Odin Gaming Infinity V2,NIZ Mini 84 PRO V2,
137,Edward Gaming,CHICHOO,G-Wolves Hati S+ 4K,4000.0,1600.0,0.105,168.0,1.0,ZOWIE XL2566K,1280x960,Artisan Ninja FX Zero XSoft Orange,Wooting 60 HE,
138,Edward Gaming,nobody,VAXEE OUTSET AX Wireless Black,1000.0,800.0,0.278,222.4,1.0,ZOWIE XL2566K,1280x960,Artisan Ninja FX Zero XSoft Orange,Razer Huntsman V2 TKL,
139,Edward Gaming,ZmjjKK,Razer Viper Mini Signature Edition,2000.0,800.0,0.4,320.0,1.0,ZOWIE XL2566K,1280x960,Artisan FX Hien Mid,Razer Blackwidow V4,HyperX Cloud III
140,ZETA DIVISION,TENNN,Logitech G Pro X Superlight Red,1000.0,400.0,0.46,184.0,1.0,ZOWIE XL2566K,1280x960,VAXEE PA FunSpark V2,Wooting 60 HE,Logitech G Pro X Headset
141,ZETA DIVISION,Laz,VAXEE ZYGEN NP-01S Wireless Black,1000.0,800.0,0.34,272.0,0.8,ZOWIE XL2566K,1920x1080,Artisan Raiden FX Mid,ZENAIM Keyboard,Logitech G Pro X Wireless Headset
142,ZETA DIVISION,SugarZ3ro,Razer Deathadder V3 Pro Black,1000.0,800.0,0.27,216.0,0.9,ZOWIE XL2566K,1280x960,Pulsar ES2 Bruce Lee Edition Black,Wooting 60 HE,Logitech G Pro X Headset
143,ZETA DIVISION,Dep,VAXEE XE Black,1000.0,1600.0,0.14,224.0,1.0,ZOWIE XL2566K,1680x1050,Pulsar ES2 Bruce Lee Edition Black,Logitech G915 TKL White,Logitech G Pro X Headset
144,LOUD,Saadhak,Logitech G703,1000.0,1600.0,0.23,368.0,1.0,ZOWIE XL2566K,1920x1080,VAXEE PA Y22,Ducky ONE 3 Daybreak VAXEE Version,HyperX Cloud II
145,LOUD,tuyz,Logitech G Pro X Superlight Black,1000.0,800.0,0.32,256.0,1.0,ZOWIE XL2566K,1920x1080,Artisan Ninja FX Zero XSoft Orange,Wooting 60 HE,HyperX Cloud II
146,LOUD,cauanzin,Razer Deathadder V3 Pro White,1000.0,800.0,0.25,200.0,0.77,ZOWIE XL2566K,1920x1080,Logitech G640 Original,Logitech G Pro X Keyboard,HyperX Cloud II
147,LOUD,Less,VAXEE XE Wireless Black,1000.0,800.0,0.32,256.0,1.0,ZOWIE XL2566K,1920x1080,Lethal Gaming Gear Saturn Pro,Wooting 60 HE,HyperX Cloud II
148,LOUD,qck,Logitech G Pro X Superlight White,1000.0,800.0,0.22,176.0,1.0,ZOWIE XL2566K,1920x1080,SkyPAD 3.0,Razer Huntsman V2,HyperX Cloud II
149,DRX,Lothar,Logitech G Pro Wireless,1000.0,1600.0,0.2,320.0,1.0,AOC AG251FZ,1920x1080,Logitech G840,Logitech G915 TKL,Logitech G Pro X Headset
